Country,Class,Region,SR_2016,SR_2015,SR_2010,SR_2005,SR_CHG_1015,SR_p_CHG,M_2016,M_2015,M_2010,M_2005,F_2016,F_2015,F_2010,F_2005,Alc_2016,Alc_2015,Alc_2014,Alc_2013,Alc_2012,Alc_2011,Alc_2010,Alc_2009,Alc_2008,Alc_2007,Alc_2006,Alc_2005,Alc_Chg_1015,Alc_p_Chg,Heavy_ttl_2016,govt_exp_mental/health_2011,govt_exp_hosp/health_2011,govt_exp_mh,govt_exp_hosp,mh_legis,mh_plan,mh_policy,psychiatrist_2014,psychiatrist_2011,psychiatrist_chg,psychiatrist_p_chg,nurse_2014,nurse_2011,nurse_chg,nurse_p_chg,sowork_2014,sowork_2011,sowork_chg,sowork_p_chg,psychologist_2014,psychologist_2011,psychologist_chg,psychologist_p_chg,hosp_2011,outpatientfac_2011,daytreat_2011,communityres_2011,b_hosp_2011,b_outpatientfac_2011,b_daytreat_2011,b_communityres_2011,beds_gen_hosp_2014,beds_gen_hosp_2011,beds_gen_hosp_chg,beds_gen_hosp_p_chg,beds_comm_res_2014,beds_comm_res_2011,beds_comm_res_chg,beds_comm_res_p_chg,beds_mh_2014,beds_mh_2011,beds_mh_chg,beds_mh_p_chg,child_abuse_pgm_12-14,youth_viol_pvn_12-14,dom_abuse_12-14,sen_abuse_12-14,conf_alc_disorder_2014,conf_drug_disorder_2014,awr_binge_drinking,awr_dom_viol,awr_eld,awr_hiv,awr_work/sprts,awr_dd,awr_illalc,awr_indig,awr_preg,awr_harmother,awr_youthdrink,treat_sub_alt,treat_sub_add,treat_alc_alt,treat_alc_add,alc_policy_writ,alc_policy_before,alc_policy_during,alc_policy_rev,alc_policy_rev/add_during,che_2015,che_2011,che_2010,che_chg,che_p_chg,unemp_adv_2010,unemp_adv_2015,unemp_chg,unemp_p_chg,risk_impov_hc_2010,risk_impov_hc_2015,risk_impov_hc_chg,risk_impov_hc_p_chg,pop_2010,pop_2015,chg_pop,SR_act_2010,SR_act_2015,std_sr
Afghanistan,L,South Asia,4.7,4.8,5.1,6.3,-0.3,-0.06,7.6,7.8,8.6,10.8,1.5,1.5,1.4,1.5,,0.02,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,-0.01,-0.333333333,2,,,,,1,1,1,0.01,0.16,-0.15,-0.94,0.11,0.15,-0.04,-0.27,0.01,0.01,0,0,0.04,0.08,-0.04,-0.5,0,0.07,0,0,0,1,0,0,0.32,0.84,-0.52,-0.62,0,0,0,,0.32,0.34,-0.02,-0.06,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,183.9,138.8,132.3,51.6,0.39,,,,,,,,,28803167,33736494,4933327,1468.961517,1619.351712,0.941176471
Albania,UM,Europe & Central Asia,6.3,6,7.8,6.7,-1.8,-0.23,7.9,7.6,9.5,7.7,4.7,4.4,6.1,5.7,5.07,4.77,4.81,5.06,5.43,5.65,5.53,6.04,5.82,5.76,5.46,5.3,-0.76,-0.137432188,44.7,,,,,1,1,1,1.32,1.83,-0.51,-0.28,6.66,6.18,0.48,0.08,0.79,1.1,-0.31,-0.28,1.01,1.29,-0.28,-0.22,0.06,0.63,0.09,0.28,1,1,1,1,3.92,4.1,-0.18,-0.04,3.2,3.12,0.08,0.03,15.38,16.41,-1.03,-0.06,1,1,1,2,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2002,1,0,2011,1,773.7,570.9,481.1,292.6,0.61,14.38700008,21.51000023,7.123000145,50%,1.2,0.8,-0.4,-0.33,2913021,2880703,-32318,227.215638,172.84218,0.769230769
Algeria,UM,Middle East & North Africa,3.2,3.2,3.3,3.8,-0.1,-0.03,4.7,4.8,4.9,5.3,1.7,1.7,1.8,2.2,0.56,0.56,0.56,0.54,0.49,0.44,0.39,0.48,0.43,0.39,0.43,0.55,0.17,0.435897436,19.3,7.37,0.81,5043.291,554.283,1,1,1,2.29,1.55,0.74,0.48,,6.01,,,0.08,,,,3.43,4.26,-0.83,-0.19,0.04,1.21,0.05,,1,1,1,1,1.65,2.33,-0.68,-0.29,,,,,9.06,11.36,-2.3,-0.2,1,2,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1975,1,0,2015,1,1031.2,684.3,645.3,385.9,0.6,,,,,15.4,5.8,-9.6,-0.62,36117637,39871528,3753891,1191.882021,1275.888896,0.96969697
Angola,LM,Sub-Saharan Africa,4.7,5,5.7,7.2,-0.7,-0.12,7,7.5,8.7,11,2.5,2.6,2.8,3.7,4.7,5.65,9,8.02,8.14,7.86,7.67,6.89,6.9,6.22,5.44,4.68,-2.02,-0.263363755,81.6,,,,,0,1,0,,0.02,,,,0.61,,,,0.01,,,,0.03,,,0.01,0.01,,,1,1,1,1,,,,,,,,,0.05,0.03,0.02,0.67,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2012,0,1,,1,195.5,168.1,158.3,37.2,0.23,,,,,16.8,8.3,-8.5,-0.51,23369131,27859305,4490174,1332.040467,1392.96525,0.877192982
Antigua and Barbuda,H,Latin America & Caribbean,0.5,0.8,0.3,1.2,0.5,1.67,0,0,0.5,2.4,0.9,1.5,0,0,,8.45,8.45,8.5,8.3,7.91,7.81,7.9,8.24,8.19,8.34,8.81,0.64,0.081946223,47.2,,,,,1,0,0,,1.13,,,,13.55,,,,1.13,,,,1.13,,,1.13,10.16,1.13,0,1,1,1,0,,0,,,,0,,, ,124.22,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,1105.1,1065.9,1041.5,63.6,0.06,,,,,,,,,94661,99923,5262,0.283983,0.799384,
Argentina,H,Latin America & Caribbean,9.2,8.8,8.7,9,0.1,0.01,15.1,14.5,14.3,14.4,3.5,3.4,3.3,3.9,,8.42,7.93,8.2,8.35,8.11,8.15,8.33,8.41,8.16,7.75,7.53,0.27,0.033128834,32.5,,,,,0,1,1,,,,,,,,,,,,,,,,,0.13,,,,1,1,1,1,,2.08,,,,,,, ,26.29,,,,,,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1997,1,0,2016,0,1389.8,1244.5,1238,151.8,0.12,,,,,4.9,3.4,-1.5,-0.31,41223889,43417765,2193876,3586.478343,3820.76332,1.011494253
Armenia,UM,Europe & Central Asia,6.6,7,6,4.4,1,0.17,10.8,11.5,10.1,7.4,2.8,3,2.4,1.7,3.77,3.84,3.97,3.72,3.84,4.06,4.23,3.97,3.96,4,4.01,4.25,-0.39,-0.092198582,40.3,3.38,0.88,896.376,233.376,1,0,0,5.9,4.04,1.86,0.46,,10.42,,,,0.13,,,,0.39,,,0.32,0.87,0.13,0,1,1,1,0,2.51,1.46,1.05,0.72,,0,,,47.52,46.37,1.15,0.02,1,1,0,2,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,,0,0,,0,883.2,265.2,345.7,537.5,1.55,22.91530037,20.41220093,-2.503099442,-11%,4.7,7,2.3,0.49,2877311,2916950,39639,172.63866,204.1865,1.166666667
Australia,H,East Asia & Pacific,13.2,13.8,12.5,12.3,1.3,0.1,19.5,20.4,18.6,18.6,7,7.2,6.3,6,9.71,9.52,9.71,9.87,10.03,10.3,10.52,10.62,10.76,10.56,10.31,10.3,-1,-0.095057034,45.3,7.64,0.09,28805.856,339.336,1,1,1,9.16,12.76,-3.6,-0.28,70.91,69.54,1.37,0.02,8.56,,,,16.68,62.48,-45.8,-0.73,0.07,4.65,,0.66,1,1,1,1,325.47,28.91,296.56,10.26,9.95,10.15,-0.2,-0.02,7.93,10.02,-2.09,-0.21,2,0,2,2,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1985,1,0,2016,0,4491.6,3770.4,3593.1,898.5,0.25,,,,,0.1,0,-0.1,-1,22031750,23850784,1819034,2753.96875,3291.408192,1.104
Austria,H,Europe & Central Asia,15.6,16,16,17.3,0,0,23.9,24.9,25,26.6,7.7,7.5,7.5,8.6,,11.4,12.2,11.6,12.1,11.9,12.1,11.3,12,12.5,12.4,12.4,-0.7,-0.05785124,42.5,,,,,1,1,0,,19.71,,,,,,,,,,,,79.88,,,0.08,,0.29,3.05,1,1,1,1,19.53,14.39,5.14,0.36,54.92,29.95,24.97,0.83,26.8,21.31,5.49,0.26,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,,0,5138.2,4392.2,4243.9,894.3,0.21,2.828099966,3.727200031,0.899100065,32%,0,0,0,,8363404,8642699,279295,1338.14464,1382.83184,1
Azerbaijan,UM,Europe & Central Asia,2.6,2.7,3.1,3.2,-0.4,-0.13,4.2,4.3,5,5.2,1.1,1.1,1.2,1.3,0.39,0.84,1.95,2.04,1.98,1.94,1.9,1.9,1.15,0.98,0.87,0.74,-1.06,-0.557894737,36.9,2.5,0.85,1892.25,643.365,1,1,1,3.72,5.08,-1.36,-0.27,6.4,8.84,-2.44,-0.28,0.07,,,,0.38,,,,0.12,0.08,0.06,0.08,1,1,1,1,0.42,0.78,-0.36,-0.46,10.11,11.33,-1.22,-0.11,32.58,34.43,-1.85,-0.05,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1996,1,0,2016,0,1191.3,756.9,768.7,422.6,0.55,,,,,,,,,9054332,9649341,595009,280.684292,260.532207,0.870967742
